case,detail_bounds,국내주식,글로벌 선진국 DM,글로벌 신흥국 EM,국내 국채(초장기),글로벌 IG 크레딧,사모주식 PE/VC,실물 인프라,사모대출 PD
MVO,10% detailed caps,0.21376362071229638,0.20623637928770372,0.1,0.18000000000000002,0.11999999999999994,9.125254406219869e-18,0.0799999999999999,0.1
MVO,relaxed detailed caps,0.15,0.09512454369010938,0.2748754563098907,0.18000000000000008,0.11999999999999998,1.2650353342115263e-17,1.8321037477169788e-17,0.17999999999999994
Ledoit-Wolf,10% detailed caps,0.19987186380388747,0.22012813619611257,0.09999999999999998,0.18,0.11999999999999997,0.0,0.08000000000000003,0.09999999999999999
Ledoit-Wolf,relaxed detailed caps,0.15000000000000002,0.11428541857272861,0.25571458142727144,0.18000000000000005,0.12,0.0,2.129750181306766e-17,0.18000000000000002
Box default,10% detailed caps,0.20645758769182757,0.21354241230817247,0.1,0.21651714624439772,0.11999999999999997,0.0,0.043482853755602076,0.1
Box default,relaxed detailed caps,0.14999999999999986,0.09512454272361101,0.2748754572763892,0.18000000000000002,0.12,1.8308489597492348e-17,1.9055336195602127e-18,0.18
Box bootstrap-SE,10% detailed caps,0.15000000000000008,0.2700000000000001,0.09999999999999992,0.25000000000000006,0.09999999999999992,1.490590996551117e-17,0.1,0.029999999999999947
Box bootstrap-SE,relaxed detailed caps,0.14999999999999988,0.15041229197343647,0.2195877080265636,0.25,0.10000000000000005,0.0,0.13000000000000014,1.7397011464075222e-17
Ellipsoid bootstrap,10% detailed caps,0.15000000000000013,0.27,0.0999999999999999,0.24999999999999983,0.09999999999999994,2.6562791494009127e-17,0.1,0.0299999999999999
Ellipsoid bootstrap,relaxed detailed caps,0.15000000000000005,0.20731787682719555,0.16268212317280442,0.24999999999999992,0.09999999999999998,8.36447887699753e-18,0.10582964300556869,0.024170356994431402
Ellipsoid Sigma/T,10% detailed caps,0.19335596103726332,0.2727937789486574,0.05385026001407938,0.2500000000000002,0.0999999999999996,0.0,0.030000000000000086,0.1
Ellipsoid Sigma/T,relaxed detailed caps,0.19490385081795478,0.26756174678961625,0.057534402392429,0.24999999999999997,0.08112990617104024,6.093637411992963e-17,0.0,0.14887009382895974
