asset_shocked,shock,own_weight_base,own_weight_new,own_weight_change,portfolio_L1_change,portfolio_turnover_change
국내주식,-0.005,0.21376362171851604,0.17543442847300905,-0.03832919324550699,0.07665838649101431,0.038329193245507154
국내주식,0.005,0.21376362171851604,0.21999999999999997,0.006236378281483934,0.012472756562968677,0.006236378281484338
글로벌 선진국 DM,-0.005,0.20623637828148414,0.19999999999999998,-0.006236378281484156,0.01247275656296876,0.00623637828148438
글로벌 선진국 DM,0.005,0.20623637828148414,0.24456557937278126,0.038329201091297116,0.0766584021825949,0.03832920109129745
글로벌 신흥국 EM,-0.005,0.09999999999999994,0.09999999999999994,0.0,0.0,0.0
글로벌 신흥국 EM,0.005,0.09999999999999994,0.09999999999999994,0.0,0.0,0.0
국내 국채(초장기),-0.005,0.17999999999999974,0.17999999999999974,0.0,0.0,0.0
국내 국채(초장기),0.005,0.17999999999999974,0.17999999999999974,0.0,0.0,0.0
글로벌 IG 크레딧,-0.005,0.12000000000000005,0.12000000000000005,0.0,0.0,0.0
글로벌 IG 크레딧,0.005,0.12000000000000005,0.12000000000000005,0.0,0.0,0.0
사모주식 PE/VC,-0.005,8.687312278289649e-17,8.687312278289649e-17,0.0,0.0,0.0
사모주식 PE/VC,0.005,8.687312278289649e-17,8.687312278289649e-17,0.0,0.0,0.0
실물 인프라,-0.005,0.08000000000000002,0.08000000000000002,0.0,0.0,0.0
실물 인프라,0.005,0.08000000000000002,0.08000000000000002,0.0,0.0,0.0
사모대출 PD,-0.005,0.09999999999999995,0.09999999999999995,0.0,0.0,0.0
사모대출 PD,0.005,0.09999999999999995,0.09999999999999995,0.0,0.0,0.0
