scenario,portfolio,expected_return,volatility,utility,expected_return_change,volatility_change,utility_change
Baseline,Official,0.05807573893851334,0.1070671935925632,0.035148971050938525,0.0,0.0,0.0
Baseline,Team,0.05808012748736765,0.10607109660433538,0.03557797241767516,0.0,0.0,0.0
Baseline,Robust_BL,0.05603843315821434,0.09815856719933289,0.036768224528962445,0.0,0.0,0.0
Stress1_CMA_1SE,Official,0.06393601983268526,0.1070671935925632,0.04100925194511045,0.0058602808941719264,0.0,0.0058602808941719264
Stress1_CMA_1SE,Team,0.06387542987048678,0.10607109660433538,0.04137327480079428,0.005795302383119129,0.0,0.005795302383119122
Stress1_CMA_1SE,Robust_BL,0.060320378785275915,0.09815856719933289,0.04105017015602401,0.004281945627061572,0.0,0.004281945627061565
Stress2_Equity,Official,0.04679573893851334,0.11080149005787353,0.022241798540423248,-0.011279999999999998,0.00373429646531033,-0.012907172510515277
Stress2_Equity,Team,0.046880127487367654,0.11037456131213515,0.022515039917675093,-0.011199999999999995,0.00430346470779977,-0.013062932500000065
Stress2_Equity,Robust_BL,0.045638433158214343,0.10163960313206406,0.02497721530852737,-0.0104,0.0034810359327311774,-0.011791009220435075
Stress3_Alternatives,Official,0.05807573893851334,0.11485089012181643,0.03169428501496624,0.0,0.007783696529253231,-0.003454686035972286
Stress3_Alternatives,Team,0.05808012748736765,0.11323221548370935,0.032437058240669274,0.0,0.0071611188793739705,-0.0031409141770058838
Stress3_Alternatives,Robust_BL,0.05603843315821434,0.10400908588913958,0.034402653263225516,0.0,0.005850518689806697,-0.0023655712657369293
