level,asset,official_or_mapped,team_2027,BL_MVO,Robust_BL,Blend_50_RBL,final_decision,delta_final_vs_official
detailed,국내주식,0.208,0.22,0.1856820539482964,0.1916614569945745,0.20583072849728723,,
detailed,글로벌 선진국 DM,0.32752,0.275,0.2975199999999999,0.3008735357093494,0.2879367678546747,,
detailed,글로벌 신흥국 EM,0.02848,0.065,0.0367979460517035,0.027465007296076,0.046232503648038,,
detailed,국내 국채(초장기),0.218,0.205,0.2383861789402965,0.248,0.22649999999999998,,
detailed,글로벌 IG 크레딧,0.074,0.085,0.1039999999999999,0.0924685766698695,0.08873428833493475,,
detailed,사모주식 PE/VC,0.0476666666666666,0.03,0.0176666666666666,0.0176666666666666,0.0238333333333333,,
detailed,실물 인프라,0.0476666666666666,0.065,0.0412804877263702,0.0431980899967971,0.05409904499839855,,
detailed,사모대출 PD,0.0476666666666666,0.054,0.0776666666666666,0.0776666666666666,0.0658333333333333,,
common,국내주식,0.208,0.22,0.1856820539482964,0.1916614569945745,0.20583072849728723,,
common,해외주식,0.356,0.34,0.3343179460517034,0.32833854300542537,0.3341692715027127,,
common,국내채권,0.218,0.205,0.2383861789402965,0.248,0.22649999999999998,,
common,해외채권,0.074,0.085,0.1039999999999999,0.0924685766698695,0.08873428833493475,,
common,대체투자,0.143,0.149,0.1366138210597034,0.1385314233301303,0.14376571166506513,,
common,단기자금,0.001,0.001,0.001,0.001,0.001,,
